seed_id,source_id,source_name,artifact_path,ai_generated,technical_validation,license_status,selection_status,notes
AIG-02626,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-qwen2.5-coder-14b__1_/artifacts/llama-qwen2.5-coder-14b/create_an_aws_vpc_resource_with_one_public_subnet_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-00588,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___gemini-2.5-pro__1_/artifacts/gemini-2.5-pro/create_an_aws_vpc_resource_with_one_public_subnet_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-03130,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-wizardcoder-33b__1_/artifacts/llama-wizardcoder-33b/create_an_aws_vpc_resource_with_an_internet_gatewa_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-01092,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___gpt-5.4__1_/artifacts/gpt-5.4/create_an_aws_vpc_resource_with_an_internet_gatewa_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-00100,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/set_up_a_vpc_in_the_aws_region_with_two_subnets_in_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-01632,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-codellama-13b__1_/artifacts/llama-codellama-13b/set_up_a_vpc_in_the_aws_region_with_two_subnets_in_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
EXT-01,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-01,False,PENDING,VERIFIED,CANDIDATE,Source case: IAM-WILDCARD-ACTION-VULN
EXT-02,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-02,False,PENDING,VERIFIED,CANDIDATE,Source case: IAM-WILDCARD-TRUST-VULN
EXT-03,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-03,False,PENDING,VERIFIED,CANDIDATE,Source case: STO-PUBLIC-DATABASE-VULN
EXT-04,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-04,False,PENDING,VERIFIED,CANDIDATE,Source case: ENC-UNENCRYPTED-DATABASE-VULN
EXT-05,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-05,False,PENDING,VERIFIED,CANDIDATE,Source case: NET-UNRESTRICTED-INGRESS-VULN
EXT-06,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-06,False,PENDING,VERIFIED,CANDIDATE,Source case: NET-PUBLIC-INSTANCE-VULN
EXT-07,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-07,False,PENDING,VERIFIED,CANDIDATE,Source case: STO-NO-ACCESS-LOGGING-VULN
EXT-08,SRC-03,IaCSecBench,dataset/main/candidates/external/EXT-08,False,PENDING,VERIFIED,CANDIDATE,Source case: NET-NO-FLOW-LOGS-VULN
