check_id,check_namespace,check_name,finding_count,artifact_count,scenario_count,resource_type_count,resource_types,complexities,model_count,models,example_resource,security_domain,context_sensitive,include_research_scope,review_note
CKV_AWS_115,CKV_AWS,Ensure that AWS Lambda function is configured for function-level concurrent execution limit,12,12,3,1,aws_lambda_function,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_lambda_function.failover_orchestrator,,,,
CKV_AWS_117,CKV_AWS,Ensure that AWS Lambda function is configured inside a VPC,12,12,3,1,aws_lambda_function,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_lambda_function.failover_orchestrator,,,,
CKV_AWS_161,CKV_AWS,Ensure RDS database has IAM authentication enabled,12,12,2,1,aws_db_instance,complex|simple,9,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking|llama3,aws_db_instance.primary,,,,
CKV_AWS_272,CKV_AWS,Ensure AWS Lambda function is configured to validate code-signing,12,12,3,1,aws_lambda_function,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_lambda_function.failover_orchestrator,,,,
CKV_AWS_226,CKV_AWS,Ensure DB instance gets all minor upgrades automatically,23,11,4,2,aws_db_instance|aws_rds_cluster_instance,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gpt-5|llama3,aws_rds_cluster_instance.primary[0],,,,
CKV_AWS_91,CKV_AWS,Ensure the ELBv2 (Application/Network) has access logging enabled,15,11,3,1,aws_lb,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb.primary,,,,
CKV2_AWS_28,CKV2_AWS,Ensure public facing ALB are protected by WAF,14,11,2,1,aws_lb,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb.primary,,,,
CKV2_AWS_60,CKV2_AWS,Ensure RDS instance with copy tags to snapshots is enabled,14,11,2,1,aws_db_instance,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|llama3,aws_db_instance.dr_replica,,,,
CKV_AWS_300,CKV_AWS,Ensure S3 lifecycle configuration sets period for aborting failed uploads,14,11,6,1,aws_s3_bucket_lifecycle_configuration,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.7-flash|gpt-5,aws_s3_bucket_lifecycle_configuration.raw,,,,
CKV_AWS_293,CKV_AWS,Ensure that AWS database instances have deletion protection enabled,13,11,2,1,aws_db_instance,complex|simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|llama3,aws_db_instance.dr_replica,,,,
CKV_AWS_116,CKV_AWS,Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ),11,11,3,1,aws_lambda_function,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_lambda_function.failover_orchestrator,,,,
CKV_AWS_50,CKV_AWS,X-Ray tracing is enabled for Lambda,11,11,3,1,aws_lambda_function,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_lambda_function.failover_orchestrator,,,,
CKV2_AWS_20,CKV2_AWS,Ensure that ALB redirects HTTP requests into HTTPS ones,12,10,2,1,aws_lb,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb.primary,,,,
CKV_AWS_103,CKV_AWS,Ensure that load balancer is using at least TLS 1.2,12,10,2,1,aws_lb_listener,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb_listener.primary_https,,,,
CKV_AWS_129,CKV_AWS,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,12,10,2,1,aws_db_instance,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|llama3,aws_db_instance.dr_replica,,,,
CKV_AWS_378,CKV_AWS,Ensure AWS Load Balancer doesn't use HTTP protocol,12,10,2,1,aws_lb_target_group,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb_target_group.primary,,,,
CKV2_AWS_30,CKV2_AWS,Ensure Postgres RDS as aws_db_instance has Query Logging enabled,10,10,2,1,aws_db_instance,complex|simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking|llama3,aws_db_instance.primary,,,,
CKV2_AWS_41,CKV2_AWS,Ensure an IAM role is attached to EC2 instance,10,10,1,1,aws_instance,simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_instance.main,,,,
CKV_AWS_126,CKV_AWS,Ensure that detailed monitoring is enabled for EC2 instances,10,10,1,1,aws_instance,simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_instance.main,,,,
CKV_AWS_135,CKV_AWS,Ensure that EC2 is EBS optimized,10,10,1,1,aws_instance,simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_instance.main,,,,
CKV_AWS_24,CKV_AWS,Ensure no security groups allow ingress from 0.0.0.0:0 to port 22,10,10,1,2,aws_security_group|aws_vpc_security_group_ingress_rule,simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_security_group.ssh,,,,
CKV_AWS_353,CKV_AWS,Ensure that RDS instances have performance insights enabled,17,9,3,2,aws_db_instance|aws_rds_cluster_instance,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|llama3,aws_rds_cluster_instance.spoke1_replica_euw1[0],,,,
CKV_AWS_2,CKV_AWS,Ensure ALB protocol is HTTPS,11,9,2,1,aws_lb_listener,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb_listener.primary_https,,,,
CKV_AWS_150,CKV_AWS,Ensure that Load Balancer has deletion protection enabled,10,9,2,1,aws_lb,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb.dr_alb,,,,
CKV_AWS_17,CKV_AWS,Ensure all data stored in RDS is not publicly accessible,9,9,1,1,aws_db_instance,simple,9,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking|llama3,aws_db_instance.postgres,,,,
CKV_AWS_274,CKV_AWS,"Disallow IAM roles, users, and groups from using the AWS AdministratorAccess policy",9,9,2,1,aws_iam_role_policy_attachment,complex|simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|llama3,aws_iam_role_policy_attachment.cicd_admin,,,,
CKV_AWS_131,CKV_AWS,Ensure that ALB drops HTTP headers,11,8,2,1,aws_lb,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_lb.primary,,,,
CKV_AWS_58,CKV_AWS,Ensure EKS Cluster has Secrets Encryption Enabled,10,8,3,1,aws_eks_cluster,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_eks_cluster.primary,,,,
CKV_AWS_54,CKV_AWS,Ensure S3 bucket has block public policy enabled,8,8,1,1,aws_s3_bucket_public_access_block,simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_s3_bucket_public_access_block.website,,,,
CKV_AWS_56,CKV_AWS,Ensure S3 bucket has 'restrict_public_buckets' enabled,8,8,1,1,aws_s3_bucket_public_access_block,simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_s3_bucket_public_access_block.website,,,,
CKV_AWS_88,CKV_AWS,EC2 instance should not have public IP.,8,8,1,1,aws_instance,simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking,aws_instance.main,,,,
CKV2_AWS_32,CKV2_AWS,Ensure CloudFront distribution has a response headers policy attached,11,7,2,1,aws_cloudfront_distribution,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_cloudfront_distribution.primary,,,,
CKV2_AWS_47,CKV2_AWS,Ensure AWS CloudFront attached WAFv2 WebACL is configured with AMR for Log4j Vulnerability,11,7,2,1,aws_cloudfront_distribution,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_cloudfront_distribution.primary,,,,
CKV_AWS_305,CKV_AWS,Ensure CloudFront distribution has a default root object configured,11,7,2,1,aws_cloudfront_distribution,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_cloudfront_distribution.primary,,,,
CKV_AWS_310,CKV_AWS,Ensure CloudFront distributions should have origin failover configured,11,7,2,1,aws_cloudfront_distribution,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_cloudfront_distribution.primary,,,,
CKV_AWS_374,CKV_AWS,Ensure AWS CloudFront web distribution has geo restriction enabled,11,7,2,1,aws_cloudfront_distribution,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_cloudfront_distribution.primary,,,,
CKV_AWS_37,CKV_AWS,Ensure Amazon EKS control plane logging is enabled for all log types,9,7,2,1,aws_eks_cluster,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_eks_cluster.primary,,,,
CKV_AWS_109,CKV_AWS,Ensure IAM policies does not allow permissions management / resource exposure without constraints,7,7,2,1,aws_iam_policy_document,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy_document.kms_key_policy,,,,
CKV_AWS_111,CKV_AWS,Ensure IAM policies does not allow write access without constraints,7,7,2,1,aws_iam_policy_document,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy_document.kms_key_policy,,,,
CKV_AWS_356,CKV_AWS,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",7,7,2,1,aws_iam_policy_document,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy_document.kms_key_policy,,,,
CKV2_AWS_8,CKV2_AWS,Ensure that RDS clusters has backup plan of AWS Backup,15,6,2,1,aws_rds_cluster,complex,5,claude-opus-4-6|claude-opus-4-6-cot|claude-sonnet-4-6|gemini-3.7-flash|gpt-5,aws_rds_cluster.primary,,,,
CKV_AWS_162,CKV_AWS,Ensure RDS cluster has IAM authentication enabled,15,6,2,1,aws_rds_cluster,complex,5,claude-opus-4-6|claude-opus-4-6-cot|claude-sonnet-4-6|gemini-3.7-flash|gpt-5,aws_rds_cluster.primary,,,,
CKV_AWS_309,CKV_AWS,Ensure API GatewayV2 routes specify an authorization type,8,6,1,1,aws_apigatewayv2_route,simple,6,claude-opus-4-6|claude-opus-4-6-cot|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_apigatewayv2_route.default,,,,
CKV_AWS_86,CKV_AWS,Ensure CloudFront distribution has Access Logging enabled,8,6,2,1,aws_cloudfront_distribution,complex,5,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash,aws_cloudfront_distribution.primary,,,,
CKV_AWS_173,CKV_AWS,Check encryption settings for Lambda environmental variable,6,6,2,1,aws_lambda_function,complex|simple,5,claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5,aws_lambda_function.failover_orchestrator,,,,
CKV_AWS_53,CKV_AWS,Ensure S3 bucket has block public ACLS enabled,6,6,1,1,aws_s3_bucket_public_access_block,simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.7-flash|gpt-5,aws_s3_bucket_public_access_block.website,,,,
CKV_AWS_55,CKV_AWS,Ensure S3 bucket has ignore public ACLs enabled,6,6,1,1,aws_s3_bucket_public_access_block,simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.7-flash|gpt-5,aws_s3_bucket_public_access_block.website,,,,
CKV_AWS_70,CKV_AWS,Ensure S3 bucket does not allow an action with any Principal,6,6,1,1,aws_s3_bucket_policy,simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gpt-4o|gpt-5,aws_s3_bucket_policy.website,,,,
CKV_AWS_79,CKV_AWS,Ensure Instance Metadata Service Version 1 is not enabled,6,6,2,3,aws_instance|aws_launch_configuration|aws_launch_template,simple,4,claude-opus-4-6|gemini-3.1-pro|gpt-4o|llama3,aws_launch_template.main,,,,
CKV_AWS_313,CKV_AWS,Ensure RDS cluster configured to copy tags to snapshots,12,5,2,1,aws_rds_cluster,complex,5,claude-opus-4-6|claude-opus-4-6-cot|claude-sonnet-4-6|gemini-3.7-flash|gpt-5,aws_rds_cluster.primary,,,,
CKV_TF_1,OTHER,Ensure Terraform module sources use a commit hash,9,5,3,1,,complex|simple,4,claude-opus-4-6-thinking|gemini-3.1-pro|gpt-5|gpt-5-thinking,aft,,,,
CKV_AWS_288,CKV_AWS,Ensure IAM policies does not allow data exfiltration,7,5,3,2,aws_iam_policy|aws_iam_role_policy,complex,4,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.7-flash,aws_iam_role_policy.failover_lambda,,,,
CKV_AWS_283,CKV_AWS,Ensure no IAM policies documents allow ALL or any AWS principal permissions to the resource,5,5,1,1,aws_iam_policy_document,simple,5,claude-opus-4-6|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy_document.kms_key_policy,,,,
CKV_AWS_195,CKV_AWS,Ensure Glue component has a security configuration associated,15,4,1,2,aws_glue_crawler|aws_glue_job,complex,4,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro,aws_glue_crawler.raw,,,,
CKV_AWS_31,CKV_AWS,Ensure all data stored in the ElastiCache Replication Group is securely encrypted at transit and has auth token,8,4,1,1,aws_elasticache_replication_group,complex,4,claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash,aws_elasticache_replication_group.primary,,,,
CKV_AWS_191,CKV_AWS,Ensure ElastiCache replication group is encrypted by KMS using a customer managed Key (CMK),7,4,1,1,aws_elasticache_replication_group,complex,4,claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash,aws_elasticache_replication_group.dr,,,,
CKV_AWS_26,CKV_AWS,Ensure all data stored in the SNS topic is encrypted,5,4,2,1,aws_sns_topic,complex,4,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.7-flash,aws_sns_topic.dr_failover,,,,
CKV_AWS_354,CKV_AWS,Ensure RDS Performance Insights are encrypted using KMS CMKs,5,4,2,1,aws_db_instance,complex|simple,3,claude-opus-4-6-thinking|claude-sonnet-4-6|gpt-5,aws_db_instance.primary,,,,
CKV2_AWS_38,CKV2_AWS,Ensure Domain Name System Security Extensions (DNSSEC) signing is enabled for Amazon Route 53 public hosted zones,4,4,1,1,aws_route53_zone,complex,4,claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash,aws_route53_zone.main,,,,
CKV2_AWS_39,CKV2_AWS,Ensure Domain Name System (DNS) query logging is enabled for Amazon Route 53 hosted zones,4,4,1,1,aws_route53_zone,complex,4,claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash,aws_route53_zone.main,,,,
CKV2_AWS_65,CKV2_AWS,Ensure access control lists for S3 buckets are disabled,4,4,2,1,aws_s3_bucket_ownership_controls,complex|simple,4,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6,aws_s3_bucket_ownership_controls.cloudfront_logs,,,,
CKV_AWS_20,CKV_AWS,S3 Bucket has an ACL defined which allows public READ access.,4,4,1,1,aws_s3_bucket,simple,4,claude-opus-4-6-cot|claude-opus-4-6-thinking|gpt-4o|mistral,aws_s3_bucket.website,,,,
CKV_AWS_240,CKV_AWS,Ensure Kinesis Firehose delivery stream is encrypted,4,4,1,1,aws_kinesis_firehose_delivery_stream,complex,4,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro,aws_kinesis_firehose_delivery_stream.main,,,,
CKV_AWS_241,CKV_AWS,Ensure that Kinesis Firehose Delivery Streams are encrypted with CMK,4,4,1,1,aws_kinesis_firehose_delivery_stream,complex,4,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro,aws_kinesis_firehose_delivery_stream.main,,,,
